run_accession	sample_alias	sample_accession	sample_title	experiment_accession	fastq_ftp	submitted_ftp	submitted_md5	submitted_bytes	library_strategy	library_source	library_selection	instrument_platform	read_count	base_count
ERR3324532	I1829	SAMEA5607561	Ancient Central and South Asia	ERX3349267	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/002/ERR3324532/ERR3324532.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324532/I1829.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324532/I1829.bam.bai	4948306d9262f170e5582fb397e3d1fd;6480f61dec03714d6bc7eeea45e899db	84483614;5762168	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	1480204	86731765
ERR3324542	I5279	SAMEA5607571	Ancient Central and South Asia	ERX3349277	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/002/ERR3324542/ERR3324542.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324542/I5279.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324542/I5279.bam.bai	5ecf271d6dc6ce2096894d5d2717aedd;9b3f520a4272dd7e53c6cfd2959611f3	638757421;6165176	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	11851371	637772657
ERR3324545	I3952	SAMEA5607574	Ancient Central and South Asia	ERX3349280	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/005/ERR3324545/ERR3324545.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324545/I3952.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324545/I3952.bam.bai	250df833b197ba9a49e6aa1a4dae818b;69d1835a9f13e047d62eaeadf50ef086	1266699485;6382888	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	23607344	1453880710
ERR3324546	I5269	SAMEA5607575	Ancient Central and South Asia	ERX3349281	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/006/ERR3324546/ERR3324546.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324546/I5269.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324546/I5269.bam.bai	4980c7fd5514b3d3795c17001fc12b74;a5eec08827c358844d88e1c75306ee97	660234382;6176472	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	12014000	688275799
ERR3324547	I5277	SAMEA5607576	Ancient Central and South Asia	ERX3349282	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/007/ERR3324547/ERR3324547.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324547/I5277.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324547/I5277.bam.bai	00887b27860cc6a4cafae8ec44d13bc3;2db79114154d41e1baf5cbae5c025351	612322503;6160672	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	10744129	632421008
ERR3324552	I2071	SAMEA5607581	Ancient Central and South Asia	ERX3349287	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/002/ERR3324552/ERR3324552.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324552/I2071.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324552/I2071.bam.bai	3ceaad3a58594ef7be87b4409bccd9f1;e06836a1fc7d931a71acbec4b870b76b	134622005;5860280	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	2254269	147801611
ERR3324556	I6714	SAMEA5607585	Ancient Central and South Asia	ERX3349291	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/006/ERR3324556/ERR3324556.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324556/I6714.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324556/I6714.bam.bai	d8ced1fb3d4a3b24fe6af05c0ccaba87;c4f3b393302cb4a2f82c452e59517fb5	723222731;6166616	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	13912786	723348168
ERR3324558	I11527	SAMEA5607587	Ancient Central and South Asia	ERX3349293	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/008/ERR3324558/ERR3324558.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324558/I11527.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324558/I11527.bam.bai	497af61ea46f9bee6d3e00b6c0eb68e0;7569afdd8f5e352c9c1e10efcdbebcbc	905371540;6254928	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	16243431	971560969
ERR3324560	I8219	SAMEA5607598	Ancient Central and South Asia	ERX3349295	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/000/ERR3324560/ERR3324560.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324560/I8219.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324560/I8219.bam.bai	e992d118a48be709464c865569ebf175;d8d02050c1f67b10e08eacc219c613f0	1263450427;6331080	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	25845045	1198791812
ERR3324570	I11026	SAMEA5607613	Ancient Central and South Asia	ERX3349305	ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/000/ERR3324570/ERR3324570.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324570/I11026.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR332/ERR3324570/I11026.bam.bai	47f28e0796cd3be58306cd90166d660b;95fbd1cb1fdec4ece1b3f2e8633c2c7f	197530091;5865664	OTHER	GENOMIC	Hybrid Selection	ILLUMINA	3824771	160995895
